combination,surgeon_group,frequency,total_amount,avg_amount_per_case
PROGRIP ANTMCL 15X10CM-LEFT (1) + PROGRIP ANTMCL 15X10CM-RIGHT (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טרוקר CFF03 - 5X100 (1) + שרוול לטרוקר 5 - CFS02 (1),Cheap,13,34297.884,2638.2987692307693
CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 15X10CM (1) + DEXTILE RIGHT ANT. MESH 15X10C (1) + VERSAONE BLADED TROCAR WITH FI (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טרוקר ללא סכין 5 NB5STF (1),Expensive,13,35132.4239,2702.4941461538465
CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 16X12CM (1) + DEXTILE RIGHT ANT. MESH 16X12C (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + שרוול אקסל OPTI-5X100 (1),Cheap,12,25262.5312,2105.2109333333333
CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 16X12CM (1) + DEXTILE RIGHT ANT. MESH 16X12C (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1) + מספריים לאפ (1),Cheap,10,20093.9349,2009.39349
DYNAMESH ENDOLAP 3D 10*15CM (1) + LIQUIBAND FIX8 טאקר דבק (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טרוקר ללא סכין 5 NB5STF (1),Expensive,10,22208.3,2220.83
MICROVAL 14X10-LEFT (1) + MICROVAL 14X10-RIGHT (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר ללא סכין 5 NB5STF (1) + מספריים לאפ (1),Expensive,10,24187.2711,2418.7271100000003
MICROVAL 16X11-LEFT (1) + MICROVAL 16X11-RIGHT (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1) + מספריים לאפ (1),Cheap,9,16186.272,1798.4746666666667
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר נספג-12 סיכות-ETHICON (1) + טרוקר CFF03 - 5X100 (1) + שרוול לטרוקר 5 - CFS02 (1),Expensive,9,27126.5763,3014.0640333333336
DYNAMESH ENDOLAP 3D 10*15CM (1) + LIQUIBAND FIX8 טאקר דבק (1) + אנדו קליפ 5 176630 (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טרוקר ללא סכין 5 NB5STF (1) + סקשן איריגיישיין 5 (1),Expensive,9,27478.8082,3053.200911111111
PROGRIP FLAT SHEET MESH 15X10 (1) + טרוקר אקסל OPTI-12X100 (1) + טרוקר אקסל OPTI-5X100 (1) + שרוול אקסל OPTI-5X100 (1),Cheap,8,8939.6,1117.45
CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 15X10CM (1) + DEXTILE RIGHT ANT. MESH 15X10C (1) + VERSAONE BLADED TROCAR WITH FI (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טרוקר ללא סכין 5 NB5STF (1) + סקשן איריגיישיין 5 (1),Expensive,8,22006.7684,2750.84605
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + LIQUIBAND FIX8 טאקר דבק (1) + טרוקר אקסל ללא סכין 11 B11LT (1),Cheap,7,13727.648599999999,1961.092657142857
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1) + מספריים לאפ (1),Cheap,7,11743.3394,1677.6199142857145
MICROVAL 14X10-LEFT (1) + MICROVAL 14X10-RIGHT (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר אקסל OPTI-סכין-5X100 (1) + שרוול אקסל OPTI-5X100 (1),Cheap,7,17412.1951,2487.456442857143
PROGRIP ANTMCL 15X10CM-LEFT (1) + PROGRIP ANTMCL 15X10CM-RIGHT (1) + SOL. SEPTOL 500ML (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טרוקר CFF03 - 5X100 (1) + שרוול לטרוקר 5 - CFS02 (1),Cheap,7,18538.5106,2648.3586571428573
DYNAMESH ENDOLAP 3D 10*15CM (1) + LIQUIBAND FIX8 טאקר דבק (1) + אנדו קליפ 5 176630 (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טרוקר ללא סכין 5 NB5STF (1),Expensive,7,20955.5717,2993.6531
MICROVAL 14X10-LEFT (1) + MICROVAL 14X10-RIGHT (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר אקסל OPTI-סכין-5X100 (1) + סקשן איריגיישיין 5 (1) + שרוול אקסל OPTI-5X100 (1),Expensive,7,17821.2733,2545.896185714286
3DMAX EX.LARGE 12X17-LEFT (1) + 3DMAX EX.LARGE 12X17-RIGHT (1) + אנדו קליפ 5 EL5ML (1) + בלון דו צדדי PDBS2 (1) + שרוול אקסל OPTI-12X100 (1),Cheap,6,13044.3852,2174.0642000000003
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + CAPSURE טאקר 30 (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + שרוול אקסל OPTI-5X100 (1),Cheap,6,13517.361400000002,2252.893566666667
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + GLUTACK DEVICE 50 DROPS (1) + אנדו קליפ 5 EL5ML (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,6,16425.9389,2737.6564833333337
"3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + LIQUIBAND FIX8 טאקר דבק (1) + אטם סיליקון 5 מ""מ לטרוקר YP PL (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + מספריים מונופולר 5 מ""מ (1)",Cheap,6,12804.9256,2134.154266666667
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + LIQUIBAND FIX8 טאקר דבק (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1),Cheap,6,12244.3964,2040.7327333333333
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קלינצ 5 מ''מ (1) + טאקר נספג-12 סיכות-ETHICON (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,6,13568.6866,2261.4477666666667
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1),Cheap,6,10091.354,1681.8923333333332
CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 16X12CM (1) + DEXTILE RIGHT ANT. MESH 16X12C (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + מספריים לאפ (1) + שרוול אקסל OPTI-5X100 (1),Cheap,6,12611.599900000001,2101.933316666667
CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 16X12CM (1) + DEXTILE RIGHT ANT. MESH 16X12C (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1) + סקשן איריגיישיין 5 (1),Cheap,6,12461.597700000002,2076.9329500000003
DYNAMESH ENDOLAP 3D 10*15CM (1) + SOL. SEPTOL 500ML (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טרוקר אקסל OPTI-סכין-5X100 (1) + שרוול אקסל OPTI-5X100 (1),Cheap,6,7788.6485999999995,1298.1081
PROGRIP ANTMCL 15X10CM-LEFT (1) + PROGRIP ANTMCL 15X10CM-RIGHT (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1),Cheap,6,14885.100000000002,2480.8500000000004
PROGRIP ANTMCL 15X10CM-LEFT (1) + PROGRIP ANTMCL 15X10CM-RIGHT (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,6,11159.400000000001,1859.9000000000003
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קליפ 5 EL5ML (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר נספג-12 סיכות-ETHICON (1) + טרוקר CFF03 - 5X100 (1) + שרוול לטרוקר 5 - CFS02 (1),Expensive,6,22481.6342,3746.9390333333336
CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 15X10CM (1) + DEXTILE RIGHT ANT. MESH 15X10C (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טרוקר ללא סכין 5 NB5STF (1) + סקשן איריגיישיין 5 (1),Expensive,6,16314.6933,2719.11555
MICROVAL 14X10-LEFT (1) + MICROVAL 14X10-RIGHT (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר ללא סכין 5 NB5STF (1),Expensive,6,14510.1705,2418.36175
3DMAX EX.LARGE 12X17-LEFT (1) + 3DMAX EX.LARGE 12X17-RIGHT (1) + בלון דו צדדי PDBS2 (1) + שרוול אקסל OPTI-12X100 (1),Cheap,5,7287.201999999999,1457.4404
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + GLUBRAN2-SURGICAL GLUE-1ML (1) + GLUTACK DEVICE 50 DROPS (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,5,11970.8247,2394.1649399999997
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + LIQUIBAND FIX8 טאקר דבק (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1) + מספריים לאפ (1),Cheap,5,10213.48,2042.696
DYNAMESH ENDOLAP 3D 10*15CM (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טרוקר אקסל OPTI-5X100 (1) + שרוול אקסל OPTI-5X100 (1),Cheap,5,6449.099999999999,1289.82
"3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קליפ 5 EL5ML (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר נספג-12 סיכות-ETHICON (1) + מספריים מונופולר 5 מ""מ (1)",Expensive,5,18371.3272,3674.26544
"3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר נספג-12 סיכות-ETHICON (1) + מספריים מונופולר 5 מ""מ (1)",Expensive,5,14583.8518,2916.77036
3DMAX MEDIUM 8.5X13.7-LEFT (1) + 3DMAX MEDIUM 8.5X13.7-RIGHT (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר נספג-25 סיכות-ETHICON (1) + טרוקר ללא סכין 5 NB5STF (1) + סקשן איריגיישיין 5 (1),Expensive,5,15059.6719,3011.9343799999997
DYNAMESH ENDOLAP 3D 10*15CM (1) + LIQUIBAND FIX8 טאקר דבק (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טרוקר ללא סכין 5 NB5STF (1) + מספריים לאפ (1) + סקשן איריגיישיין 5 (1),Expensive,5,11398.6785,2279.7357
DYNAMESH ENDOLAP 3D 10*15CM (1) + אנדו קליפ 5 176630 (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר נספג - 15 סיכות (1) + טרוקר ללא סכין 5 NB5STF (1) + סקשן איריגיישיין 5 (1),Expensive,5,14249.4704,2849.89408
MICROVAL 14X10-LEFT (1) + MICROVAL 14X10-RIGHT (1) + אנדו קליפ 5 EL5ML (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר ללא סכין 5 NB5STF (1),Expensive,5,15899.268199999999,3179.85364
PROGRIP ANTMCL 15X10CM-LEFT (1) + PROGRIP ANTMCL 15X10CM-RIGHT (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1),Expensive,5,12404.250000000002,2480.8500000000004
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + GLUBRAN2-SURGICAL GLUE-1ML (1) + GLUTACK DEVICE 50 DROPS (1) + אנדו קליפ 5 EL5ML (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,4,12727.8986,3181.97465
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + LIQUIBAND FIX8 טאקר דבק (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + מספריים לאפ (1),Cheap,4,7807.698399999999,1951.9245999999998
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קלינצ 5 מ''מ (1) + אנדו קליפ 5 EL5ML (1) + טאקר נספג-12 סיכות-ETHICON (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,4,12118.4175,3029.604375
ANATOMIC LIGHT 10X14CM LF (1) + ANATOMIC LIGHT 10X14CM RT (1) + בלון להרניה עגול - SMBTTRNDX (1) + טאקר נטען-20 סיכות MICROVAL (1),Cheap,4,10550.1011,2637.525275
DEXTILE LEFT ANT. MESH 15X10CM (1) + DEXTILE RIGHT ANT. MESH 15X10C (1) + טאקר-10 סיכות MICROVAL (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,4,5874.4,1468.6
DEXTILE LEFT ANT. MESH 16X12CM (1) + DEXTILE RIGHT ANT. MESH 16X12C (1) + בלון דו צדדי PDBS2 (1) + שרוול אקסל OPTI-12X100 (1),Cheap,4,4496.0,1124.0
MICROVAL 14X10-LEFT (1) + MICROVAL 14X10-RIGHT (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1),Cheap,4,7101.3578,1775.33945
PROGRIP ANTMCL 15X10CM-LEFT (1) + PROGRIP ANTMCL 15X10CM-RIGHT (1) + טרוקר CFF03 - 5X100 (1) + שרוול לטרוקר 5 - CFS02 (1),Cheap,4,7765.7618,1941.44045
PROGRIP FLAT SHEET MESH 15X10 (1) + SOL. SEPTOL 500ML (1) + טרוקר CFF03 - 5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + שרוול לטרוקר 5 - CFS02 (1),Cheap,4,4514.2446,1128.56115
ULTRAPRO ADVANCED MESH 15*30CM (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר נספג - 15 סיכות (1) + טרוקר ללא סכין 5 NB5STF (1) + סקשן איריגיישיין 5 (1),Cheap,4,9113.6544,2278.4136
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + SOL. SEPTAL SCRUB 500ML (1) + SOL.ALCOHOL+CHLORHEXIDINE 0.5L (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר נספג - 15 סיכות (1),Expensive,4,9674.6296,2418.6574
3DMAX LIGHT 8X 3CM - LEFT (1) + 3DMAX LIGHT 8X13CM - RIGHT (1) + בלון להרניה עגול - SMBTTRNDX (1) + טאקר נספג-25 סיכות-ETHICON (1),Expensive,4,11725.534,2931.3835
HAR736 -  הרמוניק 700 (1) + PROGRIP FLAT SHEET MESH 15X10 (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + שרוול אקסל OPTI-5X100 (1),Expensive,4,9789.8,2447.45
MICROVAL 14X10-LEFT (1) + MICROVAL 14X10-RIGHT (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר אקסל עם סכין 5 D5ST (1),Expensive,4,9608.0768,2402.0192
"3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + CLOSURE DEVICE (1) + LIQUIBAND FIX8 טאקר דבק (1) + אטם סיליקון 5 מ""מ לטרוקר YP PL (1) + טרוקר אקסל ללא סכין 11 B11LT (1)",Cheap,3,6061.6042,2020.5347333333332
"3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + CLOSURE DEVICE (1) + LIQUIBAND FIX8 טאקר דבק (1) + אטם סיליקון 5 מ""מ לטרוקר YP PL (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + מספריים לאפ (1)",Cheap,3,6054.1034,2018.0344666666667
"3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + LIQUIBAND FIX8 טאקר דבק (1) + אטם סיליקון 5 מ""מ לטרוקר YP PL (1) + אנדו קליפ 5 EL5ML (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + מספריים לאפ (1)",Cheap,3,8346.4026,2782.1342
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קלינצ 5 מ''מ (1) + טאקר נספג-12 סיכות-ETHICON (1) + מספריים לאפ (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,3,6625.1705999999995,2208.3902
"3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קלינצ 5 מ''מ (1) + טאקר נספג-12 סיכות-ETHICON (1) + מספריים מונופולר 5 מ""מ (1) + שרוול אקסל 10-11  CB11LT (1)",Cheap,3,6909.8112,2303.2704
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קלינצ' 5 174317 (1) + טאקר נספג-12 סיכות-ETHICON (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,3,6924.3396,2308.1132000000002
"3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + בלון להרניה עגול - SMBTTRNDX (1) + טאקר נטען-20 סיכות MICROVAL (1) + כיסוי מצלמה לפרסקופית (1) + מזרק 20 מ""ל (1) + סטרי-סטריפ 1/2 (1) + פלטה דיאט. ללא כבל-מבוגר (1)",Cheap,3,7515.338299999999,2505.1127666666666
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + טאקר נספג-12 סיכות-ETHICON (1) + טרוקר אקסל עם סכין 10-11 D11LT (1),Cheap,3,6710.8614,2236.9538
DEXTILE LEFT ANT. MESH 15X10CM (1) + DEXTILE RIGHT ANT. MESH 15X10C (1) + טאקר נספג - 15 סיכות (1) + שרוול אקסל 10-11  CB11LT (1),Cheap,3,4905.0,1635.0
DYNAMESH ENDOLAP 3D 10*15CM (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר אקסל ללא סכין 11 B11LT (1),Cheap,3,3457.41,1152.47
DYNAMESH ENDOLAP 3D 10*15CM (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר אקסל עם סכין 10-11 D11LT (1),Cheap,3,3457.41,1152.47
MICROVAL 14X10-LEFT (1) + MICROVAL 14X10-RIGHT (1) + אנדו קליפ 5 EL5ML (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1),Cheap,3,7630.6867,2543.5622333333336
MICROVAL 14X10-RIGHT (1) + MICROVAL 16X11-LEFT (1) + טאקר-10 סיכות MICROVAL (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1),Cheap,3,5355.3238,1785.1079333333334
MICROVAL 16X11-LEFT (1) + MICROVAL 16X11-RIGHT (1) + טאקר נספג - 15 סיכות (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1) + מספריים לאפ (1),Cheap,3,5748.6826,1916.2275333333334
PROGRIP FLAT SHEET MESH 15X10 (1),Cheap,3,2677.3500000000004,892.4500000000002
PROGRIP FLAT SHEET MESH 15X10 (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טרוקר CFF03 - 5X100 (1) + שרוול לטרוקר 5 - CFS02 (1),Cheap,3,5216.7892,1738.9297333333334
PROGRIP FLAT SHEET MESH 15X10 (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + שרוול אקסל OPTI-5X100 (1),Cheap,3,3352.3500000000004,1117.45
טרוקר ללא סכין 5 NB5STF (1),Cheap,3,240.0,80.0
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + LIQUIBAND FIX8 טאקר דבק (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טרוקר ללא סכין 5 NB5STF (1) + מספריים לאפ (1) + סקשן איריגיישיין 5 (1),Expensive,3,8278.0597,2759.3532333333333
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + SOL. SEPTAL SCRUB 500ML (1) + SOL. SEPTOL 500ML (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר נספג - 15 סיכות (1),Expensive,3,7272.3397,2424.1132333333335
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + SURGICEL SNOW 5CMX10CM (1) + אנדו קליפ 5 EL5ML (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר נספג-12 סיכות-ETHICON (1),Expensive,3,11776.3193,3925.4397666666664
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קליפ 5 176630 (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר נספג-12 סיכות-ETHICON (1) + טרוקר CFF03 - 5X100 (1) + שרוול לטרוקר 5 - CFS02 (1),Expensive,3,11486.3129,3828.770966666667
"3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר נספג-12 סיכות-ETHICON (1) + טרוקר CFF03 - 5X100 (1) + כיסוי מצלמה לפרסקופית (1) + מזרק 20 מ""ל (1) + סטרי-סטריפ 1/2 (1) + פלטה דיאט. ללא כבל-מבוגר (1) + שרוול לטרוקר 5 - CFS02 (1)",Expensive,3,9120.2624,3040.0874666666664
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + טאקר נספג-12 סיכות-ETHICON (1) + טרוקר CFF03 - 5X100 (1) + שרוול לטרוקר 5 - CFS02 (1),Expensive,3,6881.2731,2293.7577
CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 15X10CM (1) + DEXTILE RIGHT ANT. MESH 15X10C (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טרוקר ללא סכין 5 NB5STF (1),Expensive,3,7879.1281,2626.3760333333335
CAPSURE טאקר 30 (1) + PROGRIP ANTMCL 15X10CM-LEFT (1) + PROGRIP ANTMCL 15X10CM-RIGHT (1) + אנדו קליפ 5 EL5ML (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1),Expensive,3,12979.426200000002,4326.4754
CAPSURE טאקר 30 (1) + PROGRIP ANTMCL 15X10CM-LEFT (1) + PROGRIP ANTMCL 15X10CM-RIGHT (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1),Expensive,3,10713.985400000001,3571.3284666666673
